date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:42:59	214/214	---M--	302	error ('Found')	text/html	date:Fri,%2015%20Feb%202019%2019:13:00%20GMT	http://www.sympulsefest.com/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/fonts/glyphicons-halflings-regular.svg	(from http://www.sympulsefest.com/css/bootstrap.min.css)
00:42:59	32694/32694	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2028%20Sep%202018%2011:07:53%20GMT	http://www.sympulsefest.com/fonts/et-line.eot	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/fonts/et-line.eot	(from http://www.sympulsefest.com/css/et-line.css)
00:43:01	175537/175537	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Sep%202018%2011:07:55%20GMT	http://www.sympulsefest.com/fonts/et-line.svg	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/fonts/et-line.svg	(from http://www.sympulsefest.com/css/et-line.css)
00:43:06	32536/32536	---M--	200	added ('OK')	font/ttf	date:Fri,%2028%20Sep%202018%2011:07:56%20GMT	http://www.sympulsefest.com/fonts/et-line.ttf	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/fonts/et-line.ttf	(from http://www.sympulsefest.com/css/et-line.css)
00:43:07	32694/32694	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2028%20Sep%202018%2011:07:53%20GMT	http://www.sympulsefest.com/fonts/et-line.eot?	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/fonts/et-lined41d.eot	(from http://www.sympulsefest.com/css/et-line.css)
00:43:09	55220/55220	---M--	200	added ('OK')	font/woff	date:Fri,%2028%20Sep%202018%2011:07:58%20GMT	http://www.sympulsefest.com/fonts/et-line.woff	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/fonts/et-line.woff	(from http://www.sympulsefest.com/css/et-line.css)
00:43:12	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2028%20Sep%202018%2011:08:01%20GMT	http://www.sympulsefest.com/fonts/fontawesome-webfont.eot?v=4.3.0	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/fonts/fontawesome-webfonte0a5.eot	(from http://www.sympulsefest.com/css/font-awesome.min.css)
00:43:16	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2028%20Sep%202018%2011:08:01%20GMT	http://www.sympulsefest.com/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/fonts/fontawesome-webfontd41d.eot	(from http://www.sympulsefest.com/css/font-awesome.min.css)
00:43:17	313398/313398	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Sep%202018%2011:08:03%20GMT	http://www.sympulsefest.com/fonts/fontawesome-webfont.svg?v=4.3.0	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/fonts/fontawesome-webfonte0a5.svg	(from http://www.sympulsefest.com/css/font-awesome.min.css)
00:43:19	56780/56780	---M--	200	added ('OK')	font/woff2	date:Fri,%2028%20Sep%202018%2011:08:08%20GMT	http://www.sympulsefest.com/fonts/fontawesome-webfont.woff2?v=4.3.0	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/fonts/fontawesome-webfonte0a5.woff2	(from http://www.sympulsefest.com/css/font-awesome.min.css)
00:43:19	116/116	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Sep%202018%2011:07:32%20GMT	http://www.sympulsefest.com/css/grabbing.png	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/css/grabbing.png	(from http://www.sympulsefest.com/css/owl.carousel.css)
00:43:19	2416/2416	---M--	200	added ('OK')	text/css	date:Thu,%2014%20Feb%202019%2010:07:03%20GMT	http://www.sympulsefest.com/sponsors/index_files/style.css	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/sponsors/index_files/style.css	(from http://www.sympulsefest.com/sponsors/)
00:43:20	214/214	---M--	302	error ('Found')	text/html	date:Fri,%2015%20Feb%202019%2019:13:21%20GMT	http://www.sympulsefest.com/sponsors/www.pokerbaazi.com	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/sponsors/www.pokerbaazi.com	(from http://www.sympulsefest.com/sponsors/)
00:43:21	71508/71508	---M--	200	added ('OK')	font/woff	date:Fri,%2028%20Sep%202018%2011:08:07%20GMT	http://www.sympulsefest.com/fonts/fontawesome-webfont.woff?v=4.3.0	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/fonts/fontawesome-webfonte0a5.woff	(from http://www.sympulsefest.com/css/font-awesome.min.css)
00:43:21	214/214	---M--	302	error ('Found')	text/html	date:Fri,%2015%20Feb%202019%2019:13:22%20GMT	http://www.sympulsefest.com/sponsors/vh1.com	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/sponsors/vh1.4a.delayed	(from http://www.sympulsefest.com/sponsors/)
00:43:32	67177/67177	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202019%2011:11:32%20GMT	http://www.sympulsefest.com/sponsors/index_files/Sponsors_19/plunge.png	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/sponsors/index_files/Sponsors_19/plunge.png	(from http://www.sympulsefest.com/sponsors/)
00:43:32	122092/122092	---M--	200	added ('OK')	font/ttf	date:Fri,%2028%20Sep%202018%2011:08:05%20GMT	http://www.sympulsefest.com/fonts/fontawesome-webfont.ttf?v=4.3.0	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/fonts/fontawesome-webfonte0a5.ttf	(from http://www.sympulsefest.com/css/font-awesome.min.css)
00:43:37	26719/26719	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202019%2011:11:48%20GMT	http://www.sympulsefest.com/sponsors/index_files/Sponsors_19/tinder.png	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/sponsors/index_files/Sponsors_19/tinder.png	(from http://www.sympulsefest.com/sponsors/)
00:43:38	37285/37285	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202019%2011:11:33%20GMT	http://www.sympulsefest.com/sponsors/index_files/Sponsors_19/pvr.png	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/sponsors/index_files/Sponsors_19/pvr.png	(from http://www.sympulsefest.com/sponsors/)
00:43:38	119433/119433	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202019%2011:14:04%20GMT	http://www.sympulsefest.com/sponsors/index_files/Sponsors_19/pokerbaazi.png	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/sponsors/index_files/Sponsors_19/pokerbaazi.png	(from http://www.sympulsefest.com/sponsors/)
00:43:39	12195/12195	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202019%2011:11:03%20GMT	http://www.sympulsefest.com/sponsors/index_files/Sponsors_19/asus.png	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/sponsors/index_files/Sponsors_19/asus.png	(from http://www.sympulsefest.com/sponsors/)
00:43:42	127970/127970	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202019%2011:11:50%20GMT	http://www.sympulsefest.com/sponsors/index_files/Sponsors_19/vhr.png	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/sponsors/index_files/Sponsors_19/vhr.png	(from http://www.sympulsefest.com/sponsors/)
